layer,item,kind,count,examples
マンホール,施設番号(人孔キー),欠損(必須[1]違反),1726,
マンホール,施設番号(人孔キー),重複(必須[1]の一意性違反),2507,
マンホール,深さ,範囲外(0〜30m),95,"-10.284, -6.917, -7.22"
管きょ,施設番号(SAUID),重複(必須[1]の一意性違反),8,
管きょ,上流土被り,範囲外(-0.001〜30m),124,"890, -0.399, -0.65"
管きょ,下流土被り,範囲外(-0.001〜30m),172,"860, 1583, -1.607"
マンホール,排水区域名称/処理区域名称,どちらか必須(注記)を両方欠く,17559,"全20,689件中"
管きょ,排水区域名称/処理区域名称,どちらか必須(注記)を両方欠く,21223,"全21,223件中"
