SAUID,system,dia_mm,year,length_m
22042,汚水,150.0,,29.441761541605437
22043,汚水,150.0,2016.0,31.534049295959303
22044,汚水,150.0,2016.0,12.050747902100102
22045,汚水,150.0,2016.0,22.13912920600399
22046,汚水,150.0,2016.0,15.993061651852429
22047,汚水,150.0,2016.0,33.14044227224661
22048,汚水,150.0,2016.0,5.154297818330463
22049,汚水,150.0,2016.0,2.526521125979129
22050,汚水,150.0,2016.0,3.5918943469939695
22051,汚水,150.0,2016.0,4.825565251857018
22052,汚水,150.0,2016.0,2.7123100855190225
22053,汚水,150.0,2016.0,4.032042162480588
22054,汚水,150.0,2016.0,3.547979706814413
22055,汚水,150.0,2016.0,24.96493991581092
22056,雨水,900.0,2016.0,15.234736263060656
22057,雨水,900.0,2016.0,19.448439131035084
22058,雨水,900.0,2016.0,19.63667551356985
22059,雨水,900.0,2016.0,39.07865882076437
22060,汚水,150.0,2016.0,29.853693908790476
22061,汚水,150.0,2016.0,17.884948084920293
22062,汚水,150.0,2016.0,3.9309634951205026
22063,汚水,150.0,2016.0,11.740067035431917
22064,汚水,150.0,2016.0,19.98549980836884
22065,汚水,150.0,2016.0,30.730020229265246
22066,汚水,150.0,2016.0,4.523159625741685
22067,汚水,150.0,2016.0,68.99709515631467
22068,汚水,150.0,2016.0,46.08372938326365
22069,汚水,150.0,2016.0,19.374678172323552
22070,汚水,150.0,2016.0,29.93595117945085
22071,汚水,150.0,2016.0,3.8761282228600202
22072,汚水,150.0,2016.0,3.6011242688947367
22073,汚水,150.0,2016.0,10.347282010268712
22074,汚水,150.0,2016.0,10.451248011602202
22075,汚水,150.0,2016.0,3.2351321456801125
22076,汚水,150.0,2016.0,16.383583246652012
22077,汚水,150.0,2016.0,32.101720797007054
22078,汚水,150.0,2016.0,15.411850310717814
22079,汚水,150.0,2016.0,14.661214990581934
22080,汚水,150.0,2016.0,16.47559491973564
22081,汚水,150.0,2016.0,4.144861879491089
22082,汚水,150.0,2016.0,73.53609158248565
22083,汚水,150.0,2016.0,11.351848527885299
22084,汚水,150.0,2016.0,33.7067854769629
22085,汚水,150.0,2016.0,3.3458955452968446
22086,汚水,150.0,2016.0,37.00785821539889
22087,汚水,150.0,2016.0,28.599940292501405
22088,汚水,150.0,2016.0,3.8776860367900787
22089,汚水,150.0,2016.0,41.22249799173764
22090,汚水,150.0,2016.0,2.728220116296203
22091,汚水,150.0,,26.646910428195106
22092,汚水,150.0,,13.570421138850088
22093,汚水,150.0,,64.05648076577681
22094,汚水,150.0,,6.9979635552106165
22095,汚水,150.0,,23.346196472398113
22096,汚水,150.0,,32.8012900452294
22097,汚水,150.0,,19.410794380359782
22098,汚水,150.0,,32.49617759859912
22099,汚水,150.0,,33.93222540656174
22100,汚水,150.0,,33.99928959552233
22101,汚水,150.0,2016.0,7.17005306815253
22102,汚水,150.0,2016.0,27.30445621160608
22103,汚水,150.0,2016.0,24.835040769037242
22104,汚水,150.0,2016.0,33.51042953939431
22105,汚水,150.0,2016.0,2.2672847196588166
22106,汚水,150.0,2016.0,17.05297327736176
22107,汚水,150.0,2016.0,29.008998676592604
22108,汚水,150.0,2016.0,20.295116758514098
22109,汚水,150.0,2016.0,28.302608347114937
22110,汚水,150.0,2016.0,33.50982177180759
22111,汚水,150.0,2016.0,40.61226596002638
22112,汚水,150.0,2016.0,69.67969006664903
22113,汚水,150.0,2016.0,34.969848756627414
22114,汚水,150.0,2016.0,12.852878432481575
22115,汚水,150.0,2016.0,2.7462064743869856
22116,汚水,150.0,2016.0,57.674443650655036
22117,汚水,150.0,2016.0,21.82564118439745
22118,汚水,150.0,2016.0,24.401303760619527
22119,汚水,150.0,2016.0,10.243980866828526
22120,汚水,150.0,2016.0,30.556703465461695
22121,汚水,150.0,2016.0,22.688295502696512
22122,汚水,150.0,2016.0,56.74859637738488
22123,汚水,150.0,2016.0,4.697224925422395
22124,汚水,150.0,2016.0,33.19258281605394
22125,汚水,150.0,2016.0,13.047930180674008
22126,汚水,150.0,2016.0,6.871147823663453
22127,汚水,150.0,2016.0,13.153186458037299
22128,汚水,150.0,2016.0,23.938370140881844
22129,汚水,150.0,2016.0,5.578674845290031
22130,汚水,150.0,2016.0,22.911622251229602
22131,汚水,150.0,2016.0,18.084180814740634
22132,汚水,150.0,2016.0,5.165441510646982
22133,汚水,150.0,2016.0,18.579411239325907
22134,汚水,150.0,,4.988443043675259
22135,汚水,150.0,2016.0,18.511167494243413
22136,汚水,250.0,,17.856726553154402
22137,汚水,150.0,2016.0,68.37740233136462
22138,汚水,150.0,2016.0,36.08967501946089
22139,汚水,150.0,2016.0,33.674464108266974
22140,汚水,150.0,2016.0,8.13230994244054
22141,汚水,150.0,2016.0,28.660786102738072
22142,汚水,150.0,2016.0,8.196361504877501
22143,汚水,150.0,2016.0,53.667881343551315
22144,汚水,150.0,2016.0,43.765146894254315
22145,汚水,150.0,2016.0,17.29910730072222
22146,汚水,150.0,2016.0,10.030566534344873
22147,汚水,150.0,2016.0,53.14282364549507
22148,汚水,150.0,2016.0,16.95724999403591
22149,汚水,150.0,2016.0,8.011501794307208
22150,汚水,150.0,2016.0,60.52415019745053
22151,汚水,150.0,2016.0,5.275830550733354
22152,汚水,150.0,2016.0,5.1244788510369
22153,汚水,150.0,2016.0,11.04101648400116
22154,汚水,150.0,2016.0,14.299130498037924
22155,汚水,150.0,2016.0,10.045428922262065
22156,汚水,250.0,,13.81199353520099
22157,汚水,250.0,,7.90134482328194
22158,汚水,200.0,,5.809545621372786
22159,汚水,200.0,,43.15963329467505
22160,汚水,150.0,,19.32883346148357
22161,汚水,150.0,,29.433919699214382
22162,汚水,150.0,,18.84876317930659
22163,汚水,150.0,,5.644304828769623
22164,汚水,150.0,,54.27176747692491
22165,汚水,200.0,,17.401805797101023
22166,汚水,200.0,,9.711133919374818
22167,汚水,150.0,,19.450738733583314
22168,汚水,150.0,,29.694939827133673
22169,汚水,150.0,,5.342017689983935
22170,汚水,150.0,,21.62607208902998
22171,汚水,150.0,,9.431337086470723
