SAUID,system,dia_mm,road_up,road_dn,length_m
6496,汚水,150.0,建設省,建設省,30.802222633418108
14696,汚水,150.0,建設省,建設省,30.746523423534338
6370,汚水,150.0,建設省,建設省,30.580462102694185
5016,汚水,200.0,愛知県,愛知県,30.565821070042002
7530,汚水,200.0,愛知県,愛知県,30.37082962740174
14693,汚水,150.0,建設省,建設省,30.331519239482038
1223,汚水,200.0,愛知県,愛知県,30.24551620678276
1166,汚水,200.0,愛知県,愛知県,30.227559599411677
1225,汚水,200.0,愛知県,愛知県,30.21353556222099
1466,汚水,200.0,愛知県,愛知県,30.111722953640715
1465,汚水,200.0,愛知県,愛知県,30.100799453377146
7626,汚水,200.0,愛知県,愛知県,30.063437962419545
1417,汚水,200.0,愛知県,愛知県,29.61815505206722
14757,汚水,150.0,建設省,建設省,29.53173573298248
10985,汚水,200.0,愛知県,愛知県,29.28068931541365
2413,汚水,200.0,愛知県,愛知県,28.917012952000235
170,汚水,200.0,愛知県,愛知県,28.686823044584187
7446,汚水,200.0,愛知県,愛知県,28.513937153868895
9293,汚水,250.0,愛知県,愛知県,28.35019782007768
4012,汚水,200.0,愛知県,愛知県,27.731135009891595
7497,汚水,200.0,愛知県,愛知県,27.71550926460995
10890,雨水,800.0,愛知県,愛知県,27.45522205188969
6344,汚水,200.0,建設省,建設省,27.435618103105497
17276,汚水,200.0,愛知県,愛知県,27.39754026639148
10879,雨水,600.0,愛知県,愛知県,27.292500199064403
6317,汚水,150.0,建設省,建設省,27.2787862599209
10935,雨水,600.0,愛知県,愛知県,27.195246958716243
8865,雨水,600.0,愛知県,愛知県,27.191758543438564
8350,汚水,150.0,建設省,建設省,27.139634959794996
10880,雨水,600.0,愛知県,愛知県,27.09089448436646
10934,雨水,600.0,愛知県,愛知県,27.068500667094447
6318,汚水,150.0,建設省,建設省,27.0282727318292
10314,汚水,250.0,愛知県,愛知県,26.95941093353617
10938,雨水,800.0,愛知県,愛知県,26.929451803840198
10891,雨水,800.0,愛知県,愛知県,26.735248785776065
10889,雨水,800.0,愛知県,愛知県,26.73127768809743
2435,汚水,200.0,愛知県,愛知県,26.600323365893363
14529,汚水,200.0,愛知県,愛知県,26.571912238931045
14692,汚水,150.0,建設省,建設省,26.404007991509584
2822,汚水,150.0,愛知県,愛知県,26.204338780848506
12063,雨水,300.0,建設省,建設省,25.979288192766045
10881,雨水,600.0,愛知県,愛知県,25.952408436101983
11712,雨水,300.0,建設省,建設省,25.83318185712747
8864,雨水,800.0,愛知県,愛知県,25.791773669357774
9102,汚水,200.0,愛知県,愛知県,25.704093813685503
10933,雨水,600.0,愛知県,愛知県,25.66085645707443
1522,汚水,150.0,愛知県,愛知県,25.601983299420386
10564,汚水,250.0,愛知県,愛知県,25.593903616292955
17274,汚水,200.0,愛知県,愛知県,25.524521475955073
4010,汚水,200.0,愛知県,愛知県,25.50623467806994
169,汚水,200.0,愛知県,愛知県,25.465052238989408
5020,汚水,200.0,愛知県,愛知県,25.41713287469148
7532,汚水,200.0,愛知県,愛知県,25.210438756578426
14677,汚水,150.0,建設省,建設省,25.070013684849343
