系統,延長帯,本数,延長km,系統内の延長割合%,管口部の延長割合%,異状の想定捕捉率%
汚水,〜10m,3778,22.8,4.4,100.0,100.0
汚水,10〜20m,3762,56.3,10.9,66.8,79.2
汚水,20〜30m,3416,85.3,16.5,40.1,60.9
汚水,30〜50m,4884,192.3,37.3,25.4,50.7
汚水,50〜72m,1683,98.6,19.1,17.1,41.5
汚水,72m 超,688,60.2,11.7,11.4,32.6
雨水,〜10m,401,2.5,2.1,100.0,100.0
雨水,10〜20m,506,7.7,6.4,66.1,78.6
雨水,20〜30m,497,12.3,10.3,40.4,61.0
雨水,30〜50m,867,34.5,28.7,25.1,50.5
雨水,50〜72m,433,25.4,21.2,17.1,41.5
雨水,72m 超,308,37.6,31.4,8.2,25.9
